symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-03-29 00:00:00+00:00,91.27,92.29,88.4,90.18,45867548,86.111142211,87.073488711,83.4033633335,85.0827523237,45867548,0.0,1.0
MSFT,2018-04-02 00:00:00+00:00,88.52,90.88,87.51,90.47,48515417,83.5165805688,85.7431861963,82.5636688384,85.3563606423,48515417,0.0,1.0
MSFT,2018-04-03 00:00:00+00:00,89.71,90.05,87.89,89.58,37213837,84.6393181521,84.9601003188,82.9221900835,84.5166661472,37213837,0.0,1.0
MSFT,2018-04-04 00:00:00+00:00,92.33,92.76,87.73,87.85,35559956,87.1112277894,87.5169228825,82.7712337698,82.8844510051,35559956,0.0,1.0
MSFT,2018-04-05 00:00:00+00:00,92.38,93.07,91.4,92.44,29771881,87.1584016374,87.8094007404,86.2337942159,87.2150102551,29771881,0.0,1.0
MSFT,2018-04-06 00:00:00+00:00,90.23,92.46,89.48,91.49,38026000,85.1299261717,87.2338797943,84.4223184512,86.3187071423,38026000,0.0,1.0
MSFT,2018-04-09 00:00:00+00:00,90.77,93.17,90.62,91.04,31533943,85.6394037306,87.9037484365,85.4978821864,85.89414251,31533943,0.0,1.0
MSFT,2018-04-10 00:00:00+00:00,92.88,93.28,91.64,92.39,26939883,87.6301401178,88.0075309021,86.4602286864,87.167836407,26939883,0.0,1.0
MSFT,2018-04-11 00:00:00+00:00,91.86,93.29,91.48,92.01,24872110,86.6677936178,88.0169656717,86.3092723727,86.8093151619,24872110,0.0,1.0
MSFT,2018-04-12 00:00:00+00:00,93.58,94.16,92.43,92.43,26758879,88.2905739904,88.8377906276,87.2055754855,87.2055754855,26758879,0.0,1.0
MSFT,2018-04-13 00:00:00+00:00,93.08,94.18,92.44,94.05,23346063,87.81883551,88.8566601668,87.2150102551,88.7340081619,23346063,0.0,1.0
MSFT,2018-04-16 00:00:00+00:00,94.17,94.66,93.42,94.07,20288083,88.8472253972,89.309529108,88.1396176766,88.7528777012,20288083,0.0,1.0
MSFT,2018-04-17 00:00:00+00:00,96.07,96.54,94.88,95.0,26771000,90.6398316227,91.0832657943,89.5170940394,89.6303112747,26771000,0.0,1.0
MSFT,2018-04-18 00:00:00+00:00,96.44,96.72,95.52,96.22,21043287,90.9889180982,91.2530916472,90.1209192943,90.7813531668,21043287,0.0,1.0
MSFT,2018-04-19 00:00:00+00:00,96.11,97.07,95.34,96.44,23552541,90.6775707012,91.5833085835,89.9510934414,90.9889180982,23552541,0.0,1.0
MSFT,2018-04-20 00:00:00+00:00,95.0,96.11,94.05,95.91,31154377,89.6303112747,90.6775707012,88.7340081619,90.488875309,31154377,0.0,1.0
MSFT,2018-04-23 00:00:00+00:00,95.35,96.29,94.63,95.74,22331829,89.960528211,90.8473965541,89.2812247992,90.3284842257,22331829,0.0,1.0
MSFT,2018-04-24 00:00:00+00:00,93.12,96.47,92.41,96.24,34524799,87.8565745884,91.017222407,87.1867059463,90.8002227061,34524799,0.0,1.0
MSFT,2018-04-25 00:00:00+00:00,92.31,93.3,90.28,93.3,33729257,87.0923582502,88.0264004414,85.1771000198,88.0264004414,33729257,0.0,1.0
MSFT,2018-04-26 00:00:00+00:00,94.26,95.15,93.1,93.55,42529043,88.9321383237,89.7718328188,87.8377050492,88.2622696816,42529043,0.0,1.0
MSFT,2018-04-27 00:00:00+00:00,95.82,97.9,93.91,97.6,48272780,90.4039623825,92.366394461,88.6019213874,92.0833513727,48272780,0.0,1.0
MSFT,2018-04-30 00:00:00+00:00,93.52,96.4,93.15,96.33,41523605,88.2339653727,90.9511790198,87.8848788972,90.8851356325,41523605,0.0,1.0
MSFT,2018-05-01 00:00:00+00:00,95.0,95.29,92.79,93.21,31408927,89.6303112747,89.9039195933,87.5452271914,87.9414875149,31408927,0.0,1.0
MSFT,2018-05-02 00:00:00+00:00,93.51,95.17,93.19,94.99,27471002,88.2245306031,89.790702358,87.9226179757,89.6208765051,27471002,0.0,1.0
MSFT,2018-05-03 00:00:00+00:00,94.07,94.93,92.45,92.96,31142497,88.7528777012,89.5642678874,87.2244450247,87.7056182747,31142497,0.0,1.0
MSFT,2018-05-04 00:00:00+00:00,95.16,95.37,92.92,93.32,22531325,89.7812675884,89.9793977502,87.6678791963,88.0452699806,22531325,0.0,1.0
MSFT,2018-05-07 00:00:00+00:00,96.22,96.71,95.1,95.17,24242019,90.7813531668,91.2436568776,89.7246589708,89.790702358,24242019,0.0,1.0
MSFT,2018-05-08 00:00:00+00:00,95.81,96.16,95.06,95.85,23484589,90.3945276129,90.7247445492,89.6869198923,90.4322666914,23484589,0.0,1.0
MSFT,2018-05-09 00:00:00+00:00,96.94,96.97,95.05,96.01,27327410,91.4606565786,91.4889608874,89.6774851227,90.5832230051,27327410,0.0,1.0
MSFT,2018-05-10 00:00:00+00:00,97.91,97.95,97.05,97.46,22388119,92.3758292306,92.413568309,91.5644390443,91.9512645982,22388119,0.0,1.0
MSFT,2018-05-11 00:00:00+00:00,97.7,97.87,97.04,97.8,16778316,92.1776990688,92.3380901521,91.5550042747,92.2720467649,16778316,0.0,1.0
MSFT,2018-05-14 00:00:00+00:00,98.03,98.69,97.31,97.92,19454124,92.4890464659,93.11174126,91.8097430541,92.3852640002,19454124,0.0,1.0
MSFT,2018-05-15 00:00:00+00:00,97.32,97.85,96.34,97.24,24594010,91.8191778237,92.3192206129,90.8945704021,91.7436996669,24594010,0.0,1.0
MSFT,2018-05-16 00:00:00+00:00,97.15,97.4,96.62,97.36,17384742,92.0550470639,92.2919360167,91.5528424839,92.2540337843,17384742,0.42,1.0
MSFT,2018-05-17 00:00:00+00:00,96.18,97.54,95.83,96.76,17246716,91.135917927,92.4245938303,90.804273393,91.6855002975,17246716,0.0,1.0
MSFT,2018-05-18 00:00:00+00:00,96.36,96.93,96.01,96.01,17865840,91.306477973,91.8465847854,90.9748334391,90.9748334391,17865840,0.0,1.0
MSFT,2018-05-21 00:00:00+00:00,97.6,98.01,96.8,97.0,19422467,92.481447179,92.8699450616,91.72340253,91.9129136922,19422467,0.0,1.0
MSFT,2018-05-22 00:00:00+00:00,97.5,98.17,97.2,97.68,15441189,92.3866915979,93.0215539914,92.1024248545,92.5572516439,15441189,0.0,1.0
MSFT,2018-05-23 00:00:00+00:00,98.66,98.73,96.32,96.71,21251222,93.4858563389,93.5521852457,91.2685757406,91.638122507,21251222,0.0,1.0
MSFT,2018-05-24 00:00:00+00:00,98.31,98.94,96.81,98.73,26649287,93.154211805,93.7511719661,91.7328780881,93.5521852457,26649287,0.0,1.0
